# Lines starting with "#" are ignored
#
#  LSSS species  Nation  Platform  BEI species
#
       5026        58       11      71 Laksesild, Lysprikkfisk
       5027        58       11      72 0-gr. tobis
       5028        58       11      74 Lusuer
       5029        58       11      75 Snabeluer
       5002        58       11      76 Skolest
       5030        58       11      77 Lysing
       5031        58       11      78 Unghyse
       5032        58       11      79 Ungtorsk
          0        58       12       0 Utolkede data (raadata)
          1        58       12       1 Andre sorter
          2        58       12       2 Bunnfisk
          3        58       12       3 Pelagisk fisk
          4        58       12       4 Maneter
          5        58       12       5 Reker
          6        58       12       6 Plankton
          7        58       12       7 Lysprikkfisk
          8        58       12       8 Polartorsk
          9        58       12       9 II-Sild
         10        58       12      10 I-Sild
         11        58       12      11 0-Sild
         12        58       12      12 Sild
         13        58       12      13 II-Lodde
         14        58       12      14 I-Lodde
         15        58       12      15 0-Lodde
         16        58       12      16 Lodde
         17        58       12      17 0-gruppe blandet
         18        58       12      18 Hvitting
         19        58       12      19 Lyr
         20        58       12      20 Brisling
         21        58       12      21 Makrell
         22        58       12      22 Sei
         23        58       12      23 Vassild
         24        58       12      24 Kolmule
         25        58       12      25 Brosme
         26        58       12      26 Lange
         27        58       12      27 Sil
         28        58       12      28 Oeyepaal
         29        58       12      29 Uer
         30        58       12      30 Hyse
         31        58       12      31 Torsk
         32        58       12      32 0-Uer
         33        58       12      33 0-Polartorsk
         34        58       12      34 0 gruppe brisling
         40        58       12      40
         41        58       12      41 Hyse, Torsk
         42        58       12      42 Vassild, Kolmule
         43        58       12      43 Andre sorter, Lodde
         44        58       12      44 Pelagisk fisk, Plankton
         45        58       12      45 Andre sorter, Plankton
         46        58       12      46 Plankton, 0-Sild, 0-Lodde
         47        58       12      47 Uer, Hyse, Torsk
         48        58       12      48 Lodde, Kolmule
         49        58       12      49 Lysprikkfisk, Kolmule
         50        58       12      50 Kolmule, Uer
         51        58       12      51 Andre sorte, 0-Sild, Sild
         52        58       12      52 Bunnfisk
         53        58       12      53 Sild, Brisling
